Município,Estado
110001,Rondônia
110002,Rondônia
110003,Rondônia
110004,Rondônia
110005,Rondônia
110006,Rondônia
110007,Rondônia
110008,Rondônia
110009,Rondônia
110010,Rondônia
110011,Rondônia
110012,Rondônia
110013,Rondônia
110014,Rondônia
110015,Rondônia
110018,Rondônia
110020,Rondônia
110025,Rondônia
110026,Rondônia
110028,Rondônia
110029,Rondônia
110030,Rondônia
110032,Rondônia
110033,Rondônia
110034,Rondônia
110037,Rondônia
110040,Rondônia
110045,Rondônia
110050,Rondônia
110060,Rondônia
110070,Rondônia
110080,Rondônia
110090,Rondônia
110092,Rondônia
110094,Rondônia
110100,Rondônia
110110,Rondônia
110120,Rondônia
110130,Rondônia
110140,Rondônia
110143,Rondônia
110145,Rondônia
110146,Rondônia
110147,Rondônia
110148,Rondônia
110149,Rondônia
110150,Rondônia
110155,Rondônia
110160,Rondônia
110170,Rondônia
110175,Rondônia
110180,Rondônia
119999,Rondônia
120001,Acre
120005,Acre
120010,Acre
120013,Acre
120017,Acre
120020,Acre
120025,Acre
120030,Acre
120032,Acre
120033,Acre
120034,Acre
120035,Acre
120038,Acre
120039,Acre
120040,Acre
120042,Acre
120043,Acre
120045,Acre
120050,Acre
120060,Acre
120070,Acre
120080,Acre
129999,Acre
130002,Amazonas
130006,Amazonas
130008,Amazonas
130010,Amazonas
130014,Amazonas
130020,Amazonas
130030,Amazonas
130040,Amazonas
130050,Amazonas
130060,Amazonas
130063,Amazonas
130068,Amazonas
130070,Amazonas
130080,Amazonas
130083,Amazonas
130090,Amazonas
130100,Amazonas
130110,Amazonas
130115,Amazonas
130120,Amazonas
130130,Amazonas
130140,Amazonas
130150,Amazonas
130160,Amazonas
130165,Amazonas
130170,Amazonas
130180,Amazonas
130185,Amazonas
130190,Amazonas
130195,Amazonas
130200,Amazonas
130210,Amazonas
130220,Amazonas
130230,Amazonas
130240,Amazonas
130250,Amazonas
130255,Amazonas
130260,Amazonas
130270,Amazonas
130280,Amazonas
130290,Amazonas
130300,Amazonas
130310,Amazonas
130320,Amazonas
130330,Amazonas
130340,Amazonas
130350,Amazonas
130353,Amazonas
130356,Amazonas
130360,Amazonas
130370,Amazonas
130380,Amazonas
130390,Amazonas
130395,Amazonas
130400,Amazonas
130406,Amazonas
130410,Amazonas
130420,Amazonas
130423,Amazonas
130426,Amazonas
130430,Amazonas
130440,Amazonas
139999,Amazonas
140002,Roraima
140005,Roraima
140010,Roraima
140015,Roraima
140017,Roraima
140020,Roraima
140023,Roraima
140028,Roraima
140030,Roraima
140040,Roraima
140045,Roraima
140047,Roraima
140050,Roraima
140060,Roraima
140070,Roraima
149999,Roraima
150010,Pará
150013,Pará
150020,Pará
150030,Pará
150034,Pará
150040,Pará
150050,Pará
150060,Pará
150070,Pará
150080,Pará
150085,Pará
150090,Pará
150095,Pará
150100,Pará
150110,Pará
150120,Pará
150125,Pará
150130,Pará
150140,Pará
150145,Pará
150150,Pará
150157,Pará
150160,Pará
150170,Pará
150172,Pará
150175,Pará
150178,Pará
150180,Pará
150190,Pará
150195,Pará
150200,Pará
150210,Pará
150215,Pará
150220,Pará
150230,Pará
150240,Pará
150250,Pará
150260,Pará
150270,Pará
150275,Pará
150276,Pará
150277,Pará
150280,Pará
150285,Pará
150290,Pará
150293,Pará
150295,Pará
150300,Pará
150304,Pará
150307,Pará
150309,Pará
150310,Pará
150320,Pará
150330,Pará
150340,Pará
150345,Pará
150350,Pará
150360,Pará
150370,Pará
150375,Pará
150380,Pará
150390,Pará
150400,Pará
150405,Pará
150410,Pará
150420,Pará
150430,Pará
150440,Pará
150442,Pará
150445,Pará
150450,Pará
150460,Pará
150470,Pará
150475,Pará
150480,Pará
150490,Pará
150495,Pará
150497,Pará
150500,Pará
150503,Pará
150506,Pará
150510,Pará
150520,Pará
150530,Pará
150540,Pará
150543,Pará
150548,Pará
150549,Pará
150550,Pará
150553,Pará
150555,Pará
150560,Pará
150563,Pará
150565,Pará
150570,Pará
150580,Pará
150590,Pará
150600,Pará
150610,Pará
150611,Pará
150613,Pará
150616,Pará
150618,Pará
150619,Pará
150620,Pará
150630,Pará
150635,Pará
150640,Pará
150650,Pará
150655,Pará
150658,Pará
150660,Pará
150670,Pará
150680,Pará
150690,Pará
150700,Pará
150710,Pará
150715,Pará
150720,Pará
150730,Pará
150740,Pará
150745,Pará
150746,Pará
150747,Pará
150750,Pará
150760,Pará
150770,Pará
150775,Pará
150780,Pará
150790,Pará
150795,Pará
150796,Pará
150797,Pará
150800,Pará
150803,Pará
150805,Pará
150808,Pará
150810,Pará
150812,Pará
150815,Pará
150820,Pará
150830,Pará
150835,Pará
150840,Pará
159999,Pará
160005,Amapá
160010,Amapá
160015,Amapá
160020,Amapá
160021,Amapá
160023,Amapá
160025,Amapá
160027,Amapá
160030,Amapá
160040,Amapá
160050,Amapá
160053,Amapá
160055,Amapá
160060,Amapá
160070,Amapá
160080,Amapá
169999,Amapá
170025,Tocantins
170030,Tocantins
170035,Tocantins
170040,Tocantins
170070,Tocantins
170100,Tocantins
170105,Tocantins
170110,Tocantins
170130,Tocantins
170190,Tocantins
170200,Tocantins
170210,Tocantins
170215,Tocantins
170220,Tocantins
170230,Tocantins
170240,Tocantins
170255,Tocantins
170270,Tocantins
170290,Tocantins
170300,Tocantins
170305,Tocantins
170307,Tocantins
